Date,Plant_ID,Growth_Stage,Weather_Condition,Max_Temp_C,Min_Temp_C,Sunlight_Hours,Precipitation_mm,Humidity_Percent,Daily_Observation_Notes,Soil_Moisture_Percent
2025/3/1,1,播种期,晴,15.4,5.2,9.5,0,58,种子已播种于育苗盘，土壤湿润。,72
2025/3/1,2,播种期,晴,15.4,5.2,9.5,0,58,种子已播种于育苗盘，土壤湿润。,70
2025/3/1,3,播种期,晴,15.4,5.2,9.5,0,58,种子已播种于育苗盘，土壤湿润。,72
2025/3/1,4,播种期,晴,15.4,5.2,9.5,0,58,种子已播种于育苗盘，土壤湿润。,69
2025/3/2,1,播种期,晴,16.1,5.8,9.8,0,55,育苗环境温度稳定，等待发芽。,57
2025/3/2,2,播种期,晴,16.1,5.8,9.8,0,55,育苗环境温度稳定，等待发芽。,52
2025/3/2,3,播种期,晴,16.1,5.8,9.8,0,55,育苗环境温度稳定，等待发芽。,58
2025/3/2,4,播种期,晴,16.1,5.8,9.8,0,55,育苗环境温度稳定，等待发芽。,60
2025/3/3,1,播种期,多云,14.8,6.5,6.2,0,65,土壤表面保持湿润，无变化。,59
2025/3/3,2,播种期,多云,14.8,6.5,6.2,0,65,土壤表面保持湿润，无变化。,62
2025/3/3,3,播种期,多云,14.8,6.5,6.2,0,65,土壤表面保持湿润，无变化。,58
2025/3/3,4,播种期,多云,14.8,6.5,6.2,0,65,土壤表面保持湿润，无变化。,59
2025/3/4,1,播种期,小雨,13.5,7.1,2.1,3.5,82,空气湿度增大，检查育苗盘排水情况。,72
2025/3/4,2,播种期,小雨,13.5,7.1,2.1,3.5,82,空气湿度增大，检查育苗盘排水情况。,75
2025/3/4,3,播种期,小雨,13.5,7.1,2.1,3.5,82,空气湿度增大，检查育苗盘排水情况。,76
2025/3/4,4,播种期,小雨,13.5,7.1,2.1,3.5,82,空气湿度增大，检查育苗盘排水情况。,82
2025/3/5,1,播种期,阴,14.2,8,1.5,0.5,85,天气阴沉，光照严重不足。,69
2025/3/5,2,播种期,阴,14.2,8,1.5,0.5,85,天气阴沉，光照严重不足。,68
2025/3/5,3,播种期,阴,14.2,8,1.5,0.5,85,天气阴沉，光照严重不足。,66
2025/3/5,4,播种期,阴,14.2,8,1.5,0.5,85,天气阴沉，光照严重不足。,62
2025/3/6,1,播种期,晴,16.5,6.9,9.9,0,70,天气转好，土壤湿度适中。,65
2025/3/6,2,播种期,晴,16.5,6.9,9.9,0,70,天气转好，土壤湿度适中。,64
2025/3/6,3,播种期,晴,16.5,6.9,9.9,0,70,天气转好，土壤湿度适中。,63
2025/3/6,4,播种期,晴,16.5,6.9,9.9,0,70,天气转好，土壤湿度适中。,59
2025/3/7,1,播种期,晴,17,7.2,10.1,0,68,继续观察，部分种子有萌动迹象。,61
2025/3/7,2,播种期,晴,17,7.2,10.1,0,68,继续观察，部分种子有萌动迹象。,57
2025/3/7,3,播种期,晴,17,7.2,10.1,0,68,继续观察，部分种子有萌动迹象。,56
2025/3/7,4,播种期,晴,17,7.2,10.1,0,68,继续观察，部分种子有萌动迹象。,52
2025/3/8,1,发芽期,晴,17.5,7.8,10.5,0,65,第一颗种子破土发芽，长出子叶。,52
2025/3/8,2,发芽期,晴,17.5,7.8,10.5,0,65,第一颗种子破土发芽，长出子叶。,52
2025/3/8,3,播种期,晴,17.5,7.8,10.5,0,65,无明显变化。,57
2025/3/8,4,播种期,晴,17.5,7.8,10.5,0,65,无明显变化。,58
2025/3/9,1,发芽期,晴,18,8.2,10.8,0,63,子叶完全展开，生长状态良好。,54
2025/3/9,2,发芽期,晴,18,8.2,10.8,0,63,子叶完全展开，生长状态良好。,61
2025/3/9,3,发芽期,晴,18,8.2,10.8,0,63,种子破土，观察到嫩芽。,60
2025/3/9,4,播种期,晴,18,8.2,10.8,0,63,无明显变化。,56
2025/3/10,1,发芽期,晴,18.3,8.5,11,0,60,幼苗茎干挺立。,53
2025/3/10,2,发芽期,晴,18.3,8.5,11,0,60,幼苗茎干挺立。,62
2025/3/10,3,发芽期,晴,18.3,8.5,11,0,60,子叶展开。,52
2025/3/10,4,发芽期,晴,18.3,8.5,11,0,60,种子破土，观察到嫩芽。,60
2025/3/11,1,幼苗期,晴,18.8,9,11.2,0,62,开始长出第一片真叶。,61
